ALBERTINA,BERT,GLORIA
2: 0.949,3: 0.919,9: 0.873
3: 0.948,2: 0.895,6: 0.833
0: 0.937,1: 0.874,0: 0.812
4: 0.929,7: 0.864,4: 0.804
1: 0.926,8: 0.863,3: 0.801
8: 0.915,0: 0.856,2: 0.801
6: 0.909,4: 0.833,1: 0.793
7: 0.901,5: 0.833,5: 0.781
9: 0.884,6: 0.83,7: 0.774
5: 0.864,9: 0.794,8: 0.774
