ALBERTINA,BERT,GLORIA
2: 0.952,3: 0.935,9: 0.96
3: 0.952,2: 0.908,6: 0.957
0: 0.931,1: 0.898,0: 0.956
4: 0.928,7: 0.881,4: 0.955
1: 0.923,8: 0.872,3: 0.952
8: 0.922,0: 0.87,2: 0.952
6: 0.915,4: 0.844,1: 0.952
7: 0.913,5: 0.831,5: 0.948
9: 0.887,6: 0.828,7: 0.945
5: 0.878,9: 0.804,8: 0.932
