ALBERTINA,BERT,GLORIA
2: 0.778,3: 0.657,9: 0.965
3: 0.774,2: 0.613,6: 0.957
0: 0.739,1: 0.599,0: 0.954
4: 0.725,7: 0.578,4: 0.953
1: 0.692,8: 0.564,3: 0.95
8: 0.687,0: 0.559,2: 0.943
6: 0.668,4: 0.553,1: 0.908
7: 0.643,5: 0.478,5: 0.907
9: 0.631,6: 0.476,7: 0.905
5: 0.602,9: 0.427,8: 0.895
