ALBERTINA,BERT,GLORIA
2: 0.951,4: 0.913,3: 0.951
1: 0.943,2: 0.898,8: 0.948
4: 0.942,3: 0.896,4: 0.946
8: 0.929,1: 0.89,7: 0.946
7: 0.926,8: 0.889,5: 0.942
9: 0.912,0: 0.874,1: 0.94
0: 0.91,5: 0.865,0: 0.931
3: 0.898,9: 0.86,2: 0.922
5: 0.895,7: 0.836,6: 0.92
6: 0.887,6: 0.821,9: 0.92
