ALBERTINA,BERT,GLORIA
2: 0.946,4: 0.92,3: 0.955
1: 0.94,2: 0.905,8: 0.955
4: 0.934,3: 0.898,4: 0.951
8: 0.933,1: 0.896,7: 0.947
7: 0.923,8: 0.879,5: 0.947
9: 0.912,0: 0.869,1: 0.946
0: 0.906,5: 0.866,0: 0.946
3: 0.903,9: 0.851,2: 0.943
5: 0.9,7: 0.839,6: 0.939
6: 0.882,6: 0.835,9: 0.91
