ALBERTINA,BERT,GLORIA
2: 0.812,4: 0.646,3: 0.937
1: 0.801,2: 0.645,8: 0.935
4: 0.775,3: 0.645,4: 0.927
8: 0.75,1: 0.644,7: 0.921
7: 0.736,8: 0.619,5: 0.92
9: 0.735,0: 0.616,1: 0.919
0: 0.722,5: 0.613,0: 0.913
3: 0.709,9: 0.608,2: 0.841
5: 0.699,7: 0.595,6: 0.836
6: 0.619,6: 0.464,9: 0.816
