ALBERTINA,BERT,GLORIA
2: 0.942,2: 0.912,8: 0.83
1: 0.94,0: 0.908,5: 0.825
4: 0.939,3: 0.899,7: 0.824
7: 0.936,4: 0.891,4: 0.824
9: 0.933,1: 0.883,1: 0.823
8: 0.913,7: 0.863,2: 0.819
0: 0.898,9: 0.831,0: 0.809
3: 0.898,5: 0.82,6: 0.809
5: 0.89,8: 0.808,3: 0.808
6: 0.889,6: 0.805,9: 0.768
