ALBERTINA,BERT,GLORIA
2: 0.946,2: 0.915,8: 0.965
1: 0.945,0: 0.912,5: 0.965
4: 0.941,3: 0.894,7: 0.964
7: 0.939,4: 0.887,4: 0.963
9: 0.936,1: 0.88,1: 0.961
8: 0.916,7: 0.843,2: 0.958
0: 0.905,9: 0.842,0: 0.958
3: 0.9,5: 0.822,6: 0.954
5: 0.896,8: 0.821,3: 0.952
6: 0.89,6: 0.814,9: 0.926
