ALBERTINA,BERT,GLORIA
2: 0.926,2: 0.942,8: 0.953
1: 0.749,0: 0.726,5: 0.949
4: 0.748,3: 0.671,7: 0.949
7: 0.72,4: 0.643,4: 0.948
9: 0.696,1: 0.638,1: 0.945
8: 0.694,7: 0.598,2: 0.944
0: 0.671,9: 0.56,0: 0.891
3: 0.657,5: 0.548,6: 0.878
5: 0.653,8: 0.534,3: 0.873
6: 0.569,6: 0.508,9: 0.866
