ALBERTINA,BERT,GLORIA
2: 0.95,2: 0.922,8: 0.909
3: 0.921,3: 0.903,7: 0.908
7: 0.919,7: 0.89,5: 0.908
4: 0.917,1: 0.888,3: 0.907
5: 0.913,4: 0.885,1: 0.901
8: 0.91,5: 0.874,2: 0.901
1: 0.903,9: 0.871,4: 0.898
9: 0.896,8: 0.867,9: 0.892
0: 0.893,0: 0.83,6: 0.877
6: 0.892,6: 0.824,0: 0.821
