ALBERTINA,BERT,GLORIA
2: 0.955,2: 0.919,8: 0.95
3: 0.927,3: 0.877,7: 0.948
7: 0.918,7: 0.877,5: 0.942
4: 0.91,1: 0.873,3: 0.941
5: 0.909,4: 0.871,1: 0.94
8: 0.909,5: 0.865,2: 0.94
1: 0.896,9: 0.858,4: 0.939
9: 0.895,8: 0.858,9: 0.936
0: 0.893,0: 0.838,6: 0.931
6: 0.887,6: 0.827,0: 0.902
