ALBERTINA,BERT,GLORIA
2: 0.761,2: 0.663,8: 0.936
3: 0.75,3: 0.622,7: 0.935
7: 0.708,7: 0.601,5: 0.916
4: 0.705,1: 0.558,3: 0.911
5: 0.683,4: 0.553,1: 0.905
8: 0.665,5: 0.551,2: 0.898
1: 0.659,9: 0.53,4: 0.892
9: 0.62,8: 0.521,9: 0.884
0: 0.615,0: 0.473,6: 0.853
6: 0.611,6: 0.444,0: 0.843
