ALBERTINA,BERT,GLORIA
3: 0.917,3: 0.873,0: 0.951
4: 0.911,1: 0.871,1: 0.95
1: 0.91,6: 0.87,3: 0.948
8: 0.902,5: 0.862,4: 0.947
6: 0.894,2: 0.861,2: 0.943
0: 0.892,0: 0.85,9: 0.943
2: 0.888,9: 0.835,6: 0.942
9: 0.88,7: 0.825,7: 0.942
7: 0.875,4: 0.816,5: 0.939
5: 0.859,8: 0.807,8: 0.915
