ALBERTINA,BERT,GLORIA
3: 0.699,3: 0.543,0: 0.966
4: 0.692,1: 0.531,1: 0.953
1: 0.691,6: 0.516,3: 0.952
8: 0.685,5: 0.49,4: 0.95
6: 0.676,2: 0.472,2: 0.948
0: 0.674,0: 0.466,9: 0.942
2: 0.673,9: 0.455,6: 0.928
9: 0.673,7: 0.451,7: 0.926
7: 0.632,4: 0.438,5: 0.913
5: 0.605,8: 0.423,8: 0.888
