ALBERTINA,BERT,GLORIA
2: 0.719,7: 0.656,3: 0.919
5: 0.681,5: 0.643,4: 0.88
7: 0.681,3: 0.632,0: 0.853
6: 0.676,2: 0.615,2: 0.849
0: 0.669,4: 0.612,9: 0.821
9: 0.66,6: 0.593,1: 0.801
4: 0.642,9: 0.586,7: 0.796
3: 0.636,1: 0.579,6: 0.792
8: 0.634,8: 0.575,8: 0.764
1: 0.603,0: 0.482,5: 0.752
