ALBERTINA,BERT,GLORIA
2: 0.939,7: 0.919,3: 0.944
5: 0.927,5: 0.913,4: 0.941
7: 0.923,3: 0.891,0: 0.94
6: 0.922,2: 0.881,2: 0.939
0: 0.911,4: 0.881,9: 0.935
9: 0.906,6: 0.838,1: 0.934
4: 0.904,9: 0.836,7: 0.934
3: 0.901,1: 0.825,6: 0.933
8: 0.898,8: 0.816,8: 0.929
1: 0.887,0: 0.782,5: 0.906
