ALBERTINA,BERT,GLORIA
2: 0.946,7: 0.92,3: 0.927
5: 0.923,5: 0.906,4: 0.87
7: 0.922,3: 0.889,0: 0.867
6: 0.918,2: 0.888,2: 0.828
0: 0.917,4: 0.885,9: 0.824
9: 0.906,6: 0.851,1: 0.803
4: 0.892,9: 0.845,7: 0.798
3: 0.892,1: 0.834,6: 0.794
8: 0.889,8: 0.815,8: 0.794
1: 0.875,0: 0.786,5: 0.766
