ALBERTINA,BERT,GLORIA
4: 0.935,4: 0.894,3: 0.95
3: 0.934,3: 0.861,9: 0.95
2: 0.908,5: 0.855,5: 0.95
8: 0.906,6: 0.854,8: 0.949
1: 0.905,7: 0.843,4: 0.949
9: 0.905,0: 0.833,6: 0.948
7: 0.904,8: 0.823,7: 0.947
0: 0.897,1: 0.806,0: 0.945
6: 0.889,9: 0.802,1: 0.937
5: 0.889,2: 0.785,2: 0.888
