ALBERTINA,BERT,GLORIA
4: 0.938,4: 0.898,3: 0.891
3: 0.935,3: 0.871,9: 0.891
2: 0.905,5: 0.866,5: 0.889
8: 0.903,6: 0.853,8: 0.888
1: 0.902,7: 0.849,4: 0.883
9: 0.901,0: 0.833,6: 0.881
7: 0.897,8: 0.833,7: 0.878
0: 0.891,1: 0.807,0: 0.877
6: 0.879,9: 0.801,1: 0.859
5: 0.876,2: 0.761,2: 0.805
