ALBERTINA,BERT,GLORIA
4: 0.753,4: 0.642,3: 0.977
3: 0.728,3: 0.545,9: 0.977
2: 0.662,5: 0.498,5: 0.971
8: 0.631,6: 0.496,8: 0.971
1: 0.625,7: 0.489,4: 0.969
9: 0.62,0: 0.449,6: 0.969
7: 0.61,8: 0.445,7: 0.968
0: 0.572,1: 0.44,0: 0.948
6: 0.556,9: 0.399,1: 0.939
5: 0.543,2: 0.373,2: 0.929
