ALBERTINA,BERT,GLORIA
4: 0.702,9: 0.682,8: 0.946
3: 0.687,0: 0.671,0: 0.928
0: 0.672,2: 0.666,5: 0.921
1: 0.661,1: 0.664,1: 0.918
2: 0.659,4: 0.651,4: 0.908
5: 0.624,3: 0.642,9: 0.887
7: 0.611,5: 0.611,3: 0.882
6: 0.606,6: 0.592,2: 0.861
8: 0.558,7: 0.57,7: 0.856
9: 0.528,8: 0.561,6: 0.844
