ALBERTINA,BERT,GLORIA
4: 0.964,9: 0.923,8: 0.915
3: 0.954,0: 0.923,0: 0.914
0: 0.952,2: 0.922,5: 0.912
1: 0.949,1: 0.895,1: 0.912
2: 0.933,4: 0.887,4: 0.91
5: 0.887,3: 0.884,9: 0.906
7: 0.886,5: 0.878,3: 0.904
6: 0.88,6: 0.827,2: 0.903
8: 0.876,7: 0.827,7: 0.9
9: 0.875,8: 0.826,6: 0.887
