ALBERTINA,BERT,GLORIA
4: 0.965,9: 0.94,8: 0.936
3: 0.956,0: 0.93,0: 0.934
0: 0.952,2: 0.916,5: 0.927
1: 0.949,1: 0.916,1: 0.927
2: 0.933,4: 0.892,4: 0.923
5: 0.89,3: 0.889,9: 0.923
7: 0.885,5: 0.876,3: 0.92
6: 0.877,6: 0.852,2: 0.911
8: 0.873,7: 0.829,7: 0.897
9: 0.864,8: 0.809,6: 0.796
