ALBERTINA,BERT,GLORIA
0: 0.931,2: 0.867,9: 0.957
1: 0.924,0: 0.863,4: 0.95
4: 0.923,3: 0.861,1: 0.95
3: 0.912,9: 0.858,2: 0.949
6: 0.911,4: 0.85,7: 0.938
9: 0.908,5: 0.825,6: 0.932
5: 0.907,1: 0.818,3: 0.92
2: 0.887,8: 0.813,8: 0.917
7: 0.883,7: 0.784,5: 0.896
8: 0.868,6: 0.739,0: 0.853
