ALBERTINA,BERT,GLORIA
0: 0.747,2: 0.677,9: 0.904
1: 0.738,0: 0.664,4: 0.897
4: 0.729,3: 0.663,1: 0.894
3: 0.709,9: 0.645,2: 0.887
6: 0.696,4: 0.595,7: 0.885
9: 0.685,5: 0.584,6: 0.882
5: 0.646,1: 0.508,3: 0.876
2: 0.618,8: 0.496,8: 0.863
7: 0.597,7: 0.49,5: 0.861
8: 0.597,6: 0.463,0: 0.839
