ALBERTINA,BERT,GLORIA
0: 0.932,2: 0.881,9: 0.938
1: 0.929,0: 0.862,4: 0.932
4: 0.908,3: 0.86,1: 0.928
3: 0.903,9: 0.855,2: 0.92
6: 0.9,4: 0.836,7: 0.917
9: 0.897,5: 0.82,6: 0.916
5: 0.895,1: 0.806,3: 0.895
2: 0.882,8: 0.805,8: 0.887
7: 0.874,7: 0.801,5: 0.875
8: 0.874,6: 0.739,0: 0.817
