ALBERTINA,BERT,GLORIA
9: 0.93,4: 0.917,8: 0.956
2: 0.928,2: 0.894,9: 0.95
3: 0.923,3: 0.893,2: 0.949
4: 0.922,9: 0.893,7: 0.948
5: 0.91,6: 0.879,6: 0.947
8: 0.896,1: 0.863,3: 0.945
0: 0.892,7: 0.85,1: 0.943
1: 0.887,8: 0.828,4: 0.941
6: 0.875,5: 0.807,5: 0.923
7: 0.862,0: 0.803,0: 0.87
