ALBERTINA,BERT,GLORIA
9: 0.928,4: 0.9,8: 0.956
2: 0.927,2: 0.874,9: 0.95
3: 0.925,3: 0.87,2: 0.949
4: 0.924,9: 0.865,7: 0.949
5: 0.909,6: 0.858,6: 0.948
8: 0.9,1: 0.852,3: 0.948
0: 0.895,7: 0.851,1: 0.948
1: 0.895,8: 0.841,4: 0.941
6: 0.888,5: 0.801,5: 0.921
7: 0.875,0: 0.795,0: 0.875
