ALBERTINA,BERT,GLORIA
9: 0.709,4: 0.696,8: 0.939
2: 0.672,2: 0.627,9: 0.939
3: 0.633,3: 0.618,2: 0.938
4: 0.628,9: 0.575,7: 0.937
5: 0.59,6: 0.574,6: 0.936
8: 0.56,1: 0.572,3: 0.931
0: 0.548,7: 0.566,1: 0.921
1: 0.515,8: 0.559,4: 0.92
6: 0.513,5: 0.558,5: 0.911
7: 0.502,0: 0.551,0: 0.894
